owo-colors                         ,9675890    ,1370441   ,2.87
vcpkg                              ,23949284   ,3384886   ,2.87
float-cmp                          ,6878724    ,970116    ,2.88
half                               ,26635638   ,3763613   ,2.88
httparse                           ,33645518   ,4742464   ,2.88
io-lifetimes                       ,7584258    ,1068305   ,2.88
opaque-debug                       ,14194825   ,2000198   ,2.88
phf_shared                         ,25541452   ,3597044   ,2.88
serde_repr                         ,9691509    ,1368089   ,2.88
sha3                               ,6952222    ,979832    ,2.88
curl-sys                           ,2190137    ,308056    ,2.89
icu_provider_macros                ,23496140   ,3300113   ,2.89
matrixmultiply                     ,8318020    ,1169432   ,2.89
openssl-sys                        ,22782063   ,3205151   ,2.89
phf                                ,22825784   ,3213217   ,2.89
serde_urlencoded                   ,26781666   ,3768246   ,2.89
tokio-macros                       ,33290458   ,4679657   ,2.89
utf16_iter                         ,23491603   ,3300332   ,2.89
write16                            ,23486010   ,3298458   ,2.89
icu_locid                          ,23496153   ,3291974   ,2.90
icu_locid_transform                ,23401322   ,3278917   ,2.90
nix                                ,35429118   ,4959521   ,2.90
num-bigint                         ,28383220   ,3974444   ,2.90
quick-error                        ,18848712   ,2642811   ,2.90
rawpointer                         ,7640212    ,1069062   ,2.90
hex                                ,30939189   ,4319075   ,2.91
js-sys                             ,21151344   ,2952205   ,2.91
async-signal                       ,6899850    ,958930    ,2.92
ed25519                            ,8915101    ,1240475   ,2.92
glob                               ,30174593   ,4200778   ,2.92
icu_locid_transform_data           ,24809633   ,3453550   ,2.92
idna                               ,45170140   ,6275239   ,2.92
nom                                ,32251448   ,4485074   ,2.92
nu-ansi-term                       ,26214465   ,3652328   ,2.92
relative-path                      ,5405489    ,750816    ,2.92
